post_title,post_parent,ID,post_content,post_excerpt,post_status,sku,parent_sku,children,virtual,stock,regular_price,weight,length,width,height,upsell_ids,crosssell_ids,product_url,images,product_page_url,attribute:Adhesive-width,attribute_data:Adhesive-width,attribute_default:Adhesive-width,attribute:Coating,attribute_data:Coating,attribute_default:Coating,attribute:Coating:,attribute_data:Coating:,attribute_default:Coating:,attribute:Color,attribute_data:Color,attribute_default:Color,attribute:Diameter,attribute_data:Diameter,attribute_default:Diameter,attribute:Diameter/Thickness,attribute_data:Diameter/Thickness,attribute_default:Diameter/Thickness,attribute:Die-diameter,attribute_data:Die-diameter,attribute_default:Die-diameter,attribute:Dimension(L*W*H),attribute_data:Dimension(L*W*H),attribute_default:Dimension(L*W*H),"attribute:External dimensions","attribute_data:External dimensions","attribute_default:External dimensions",attribute:Length,attribute_data:Length,attribute_default:Length,attribute:Material,attribute_data:Material,attribute_default:Material,attribute:Metal-thickness,attribute_data:Metal-thickness,attribute_default:Metal-thickness,"attribute:Mould size","attribute_data:Mould size","attribute_default:Mould size",attribute:Name,attribute_data:Name,attribute_default:Name,"attribute:Other containers","attribute_data:Other containers","attribute_default:Other containers","attribute:PP Pore Size (Average Diameter)","attribute_data:PP Pore Size (Average Diameter)","attribute_default:PP Pore Size (Average Diameter)",attribute:Size,attribute_data:Size,attribute_default:Size,"attribute:Stainless Steel Type","attribute_data:Stainless Steel Type","attribute_default:Stainless Steel Type",attribute:Tab-height,attribute_data:Tab-height,attribute_default:Tab-height,attribute:Tab-width,attribute_data:Tab-width,attribute_default:Tab-width,attribute:Thickness,attribute_data:Thickness,attribute_default:Thickness,attribute:Type,attribute_data:Type,attribute_default:Type,attribute:Width,attribute_data:Width,attribute_default:Width,attribute:pa_thickness,attribute_data:pa_thickness,attribute_default:pa_thickness,attribute:pa_width,attribute_data:pa_width,attribute_default:pa_width
"Precision Heat Sealer",,5244,"<h2 class=""product-name"" data-hook=""product-title"">Precision Heat Sealer</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" data-hook=""product-page-description-content-wrapper"">
<p>This machine tests high polymer film used as a packing material for heat sealing under controlled temperature, pressure and time conditions. It is also optimal for the testing of adhesives on sensible heat and printing ink on heat resistance.</p>
<p>&nbsp;</p>
<p><u><strong>SPECIFICATION:</strong></u></p>
<p>&nbsp;</p>
<ul>
<li>Model No. EGTP-701-B</li>
<li>Temp. range : max. 300 °C, PID control (upper and lower heat seal bar)</li>
<li>Pressure (Load) : Air input, max. 0.5 MPa (1 kN)</li>
<li>Sealing time : 0.1 sec ∼ max. 9990h</li>
<li>Heat seal bar : 10 mm (W) x  300 mm (L)</li>
<li>Ref. standard  : JIS Z 0238, JIS Z 1514, JIS Z 1707</li>
<li>Power supply : AC100V</li>
<li>Dimensions: Approx. 72 cm (W) x 40 cm (D) x 54 cm (H)</li>
<li>Options : Impulse seal (TP-701-I)</li>
<li>Japanese product</li>
</ul>
</div>
</div>
</section>
",,publish,,,,no,,19800,,,,,,,,"https://cam-energy.com/wp-content/uploads/2018/04/Precision-Heat-Sealer.jpg ! alt : Precision Heat Sealer ! title : Precision Heat Sealer ! desc :  ! caption : ",https://cam-energy.com/product/precision-heat-sealer-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Polyvinylidene Fluoride (PVDF) Binder",,5248,"<h2 class=""product-name"" data-hook=""product-title"">Polyvinylidene Fluoride (PVDF) Binder</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

Kynar HSV 900 PVDF binder is a popular binder for the cathode electrode. It enables higher energy density due to the increased active material content. HSV series binders also demonstrate low swelling levels in common solvents and electrolytes (even at elevated temperatures – up to 80ºC). Binder swelling can have serious consequences in a lithium-ion battery, so Kynar HSV resins can ensure peace of mind.
.
Active materials are constantly changing in the evolution of evermore efficient batteries. It is critical for binder solutions to provide high adhesion properties no matter what active material is being used. The Kynar® HSV series maintain excellent adhesion properties with LiCoO2, LiFePO4, LiMn2O4, NMC Oxides, and NCA.

&nbsp;

</div>
</div>
</section>","PVDF Binder, Kynar HSV 900 for Lithium-ion Batteries

80g pack",publish,Kynar-HSV-900,,,no,,80,,,,,,,,"https://cam-energy.com/wp-content/uploads/2020/05/462997_73f32f5bac384b38ad40f5b1ca7f703b_mv2_d_1600_1200_s_2.jpg ! alt :  ! title : 462997_73f32f5bac384b38ad40f5b1ca7f703b_mv2_d_1600_1200_s_2 ! desc :  ! caption : ",https://cam-energy.com/product/polyvinylidene-fluoride-pvdf-binder/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nickel Tabs",,5250,"<h2 class=""product-name"" data-hook=""product-title"">Nickel Tabs</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

Battery tabs for making contacts in pouch cells
<ul>
 	<li>Type: Nickel tab</li>
 	<li>Metal thickness : 200 um</li>
 	<li>Adhesive thickness : 100 um</li>
 	<li>Adhesive melting point : outer edge about 155 C and middle 245 C</li>
 	<li>Size and thickness: customisable upon request</li>
 	<li>Item: battery welding tabs</li>
</ul>
</div>
</div>
</section>",,publish,,,,no,,,,,,,,,,"https://cam-energy.com/wp-content/uploads/2020/05/b841a8_ece54bbec9cd44b7b9313b2fefd12808_mv2.jpg ! alt :  ! title : b841a8_ece54bbec9cd44b7b9313b2fefd12808_mv2 ! desc :  ! caption : ",https://cam-energy.com/product/nickel-tabs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nickel Plated Copper Tabs",,5252,"<h2 class=""product-name"" data-hook=""product-title"">Nickel Plated Copper Tabs</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

Battery tabs for making contacts in pouch cells.

&nbsp;

<strong><u>SPECIFICATION:</u></strong>

&nbsp;
<ul>
 	<li>Type: Nickel plated Copper tab</li>
 	<li>Metal thickness : 200 um</li>
 	<li>Adhesive thickness : 100 um</li>
 	<li>Adhesive melting point : outer edge about 155 oC and middle 245 oC</li>
 	<li>Size and thickness: customisable upon request</li>
 	<li>Item: battery welding tabs</li>
</ul>
</div>
</div>
</section>",,publish,,,,no,,,,,,,,,,"https://cam-energy.com/wp-content/uploads/2018/04/Nickel-Plated-Copper-Tabs.jpg ! alt : Nickel Plated Copper Tabs ! title : Nickel Plated Copper Tabs ! desc :  ! caption : ",https://cam-energy.com/product/nickel-plated-copper-tabs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stainless steel foil",,5268,"<h2 class=""product-name"" data-hook=""product-title"">Stainless steel foil</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

Ultrathin stainless steel foil roll. Battery grade.

&nbsp;

<strong><u>SPECIFICATION:</u></strong>

&nbsp;
<ul>
 	<li>Thickness : 0.03mm (can be customised to 0.01~2mm)</li>
 	<li>Width :100 mm (can be customised to 3.5mm~1550mm)</li>
 	<li>Length : 1 m, 3 m, 10 m</li>
 	<li>Material : 316 steel</li>
</ul>
</div>
</div>
</section>",,publish,,,,no,,,,,,,,,,"https://cam-energy.com/wp-content/uploads/2020/05/b841a8_8a5b50324ddb4e7b890d74fdf9b7af70_mv2.jpg ! alt :  ! title : b841a8_8a5b50324ddb4e7b890d74fdf9b7af70_mv2 ! desc :  ! caption : ",https://cam-energy.com/product/stainless-steel-foil/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nickel Mesh",,5270,"<h2 class=""product-name"" data-hook=""product-title"">Nickel Mesh</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

NickelmMesh for lithium battery substrate electrode.

&nbsp;

<strong><u>SPECIFICATION:</u></strong>

&nbsp;
<ul>
 	<li>Material : Nickel Mesh, purity ≥99.6%</li>
 	<li>Mesh :  100 mesh</li>
 	<li>Width : 1000 mm ( can be customised)</li>
 	<li>Thickness :  0.14mm</li>
 	<li>Pore size  :
ϕ0.18mm</li>
</ul>
</div>
</div>
</section>",,publish,,,,no,,,,,,,,,,"https://cam-energy.com/wp-content/uploads/2020/05/462997_98e96d5126034a78bbdafce527110a32_mv2_d_1512_2016_s_2.jpg ! alt :  ! title : 462997_98e96d5126034a78bbdafce527110a32_mv2_d_1512_2016_s_2 ! desc :  ! caption : ",https://cam-energy.com/product/nickel-mesh-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Test Clips",,5277,"<h2 class=""product-name"" data-hook=""product-title"">Test Clips</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

Clips for conncecting batteries to the probes of the 5V/10mA coin cell battery test analyzer.

</div>
</div>
</section>",,publish,,,,no,,90,,,,,,,,"https://cam-energy.com/wp-content/uploads/2020/05/b841a8_663a47944ba74b0cb4317004b49e9757_mv2.jpg ! alt :  ! title : b841a8_663a47944ba74b0cb4317004b49e9757_mv2 ! desc :  ! caption :  | https://cam-energy.com/wp-content/uploads/2020/05/b841a8_599937969cc640d0b997ba17c374e1eb_mv2.png ! alt :  ! title : b841a8_599937969cc640d0b997ba17c374e1eb_mv2 ! desc :  ! caption : ",https://cam-energy.com/product/test-clips-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5V/50mA Coin Cell Battery Test Analyzer",,5280,"<h2 class=""product-name"" data-hook=""product-title"">5V/50mA Coin Cell Battery Test Analyzer</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" data-hook=""product-page-description-content-wrapper"">

8 Channel Coin Cell Battery Test Analyzer.

Each channel of the analyzer has independent constant-current and constant-voltage sources, which can be programmed and controlled by computer software.

Can be used in most applications in battery testing field such as electrode material research, battery performance testing, small scale battery formation, capability grading, battery pack testing, etc.

It is suitable for all kinds of coin cell batteries such as lithium battery, NI-MH battery, Zn-Mn watch battery etc.

&nbsp;

<strong><u>SPECIFICATION</u></strong>
<ul>
 	<li><strong>Source voltage :</strong> AC 220V/110V ±10% / 50Hz</li>
 	<li><strong>Input impedance : </strong>≥1G Ω</li>
 	<li><strong>Input power : </strong>25 W</li>
 	<li><strong>Channel characteristics :</strong> Constant current source and voltage source double closed loop independent structure</li>
 	<li><strong>Channel control mode :</strong> Independent control</li>
 	<li><strong>Voltage range per channel :</strong> Charge : 25mV-5V, Minimum discharge volatage: -5V, Accuracy :± 0.05% of FS, stability:± 0.05% of FS</li>
 	<li><strong><strong>Current:  </strong></strong>Range per channel: Range1: 5μA-1mA; Range2: 1mA-25mA; Range3: 25mA-50mA,<b></b> Accuracy : ± 0.05% of FS, CV Cut-off current: Range1: 2μA; Range2: 50μA; Range3: 100μA, Stability:± 0.05% of FS</li>
 	<li><strong>Output power per channel :</strong> 0.25W</li>
 	<li><strong>Current response time :</strong> <span lang=""JA"" style=""font-family: SimSun; font-size: small;"">＜</span><span lang=""JA"" style=""font-family: Verdana; font-size: small;"">500μs (10%FS~90%FS)</span></li>
 	<li><strong>Step time range : </strong>1s-365*24h, Time format : 00:00:00(H:Min:S)</li>
 	<li><strong><strong>Data Record : </strong></strong>Min data record interval:100ms, <span lang=""JA"" style=""font-family: Verdana; font-size: small;"">Min voltage change: 10mV, </span><span lang=""JA"">Min current change</span><span lang=""JA"">: </span><span lang=""JA""><span lang=""JA"">Range1: 2μA; Range2: 50μA;Range3: 100μA, Frequency: 10Hz</span></span></li>
 	<li><strong>Charging mode : </strong>Constant current charge, constant voltage charge, constant current and voltage charge</li>
 	<li><strong>Discharging mode : </strong>Constant current discharge, constant power discharge</li>
 	<li><strong>Conditions of constraint : </strong>Time, voltage, current, capacity</li>
 	<li><strong>Cycle range :  </strong>1-65535 times</li>
 	<li><strong>Steps per cycle : </strong>254</li>
 	<li><strong>Protection </strong>: Power-down data protection, off-line test function and  safety condition setting protection</li>
 	<li><strong>Noise :</strong> ≤85dB</li>
 	<li><strong>Channel number per unit :</strong> 8</li>
 	<li><strong>Dimension(L*W*H) :</strong> 380*330*44mm</li>
 	<li><strong>Working temperature/humidity : </strong>0℃-40℃ ≤70%RH</li>
</ul>
</div>
</div>
</section>",,publish,,,,no,,,,,,,,,,"https://cam-energy.com/wp-content/uploads/2020/11/testing_menu_img.jpg ! alt :  ! title : testing_menu_img ! desc :  ! caption :  | https://cam-energy.com/wp-content/uploads/2020/05/Mini-Crimper.jpg ! alt :  ! title : Mini Crimper ! desc :  ! caption :  | https://cam-energy.com/wp-content/uploads/2020/05/6b6081_113655f564564f1b891b546c8b43e3d1_mv2-1.jpg ! alt :  ! title : 6b6081_113655f564564f1b891b546c8b43e3d1_mv2 ! desc :  ! caption :  | https://cam-energy.com/wp-content/uploads/2020/05/6b6081_113655f564564f1b891b546c8b43e3d1_mv2-2.jpg ! alt :  ! title : 6b6081_113655f564564f1b891b546c8b43e3d1_mv2 ! desc :  ! caption :  | https://cam-energy.com/wp-content/uploads/2020/05/abc.jpg ! alt :  ! title : abc ! desc :  ! caption : ",https://cam-energy.com/product/5v-10ma-coin-cell-battery-test-analyzer-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Split Test Cell for Lithium Air Battery Research",,5286,"<h2 class=""product-name"" data-hook=""product-title""><strong style=""font-size: 16px;""><u>SPECIFICATION:</u></strong></h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">
<ul>
 	<li>Structure :Stainless steel structure with internal Silver-Clad surface treatment which ensures high electrical conductivity and good corrosion protection</li>
 	<li>Two electrodes design</li>
 	<li>Electrolyte corrosive-proof PTFE guide sleeve and sealing O-rings</li>
 	<li>Compact design</li>
 	<li><strong>Cell Thickness : </strong>1~3mm (cathode separator anode)</li>
 	<li><strong>Bottom Recess Area :</strong> 16mm Dia. (The recess area can accommodate electrodes with sizes upto 16mm in diameter)</li>
 	<li><strong>Max. Working Temperature :</strong> 250℃</li>
 	<li><strong>Valves &amp; Fittings : </strong>Two Stainless Steel needle valves and 1/16"" tube connector are installed on both the gas inlet and outlet</li>
 	<li><strong>Warranty :</strong> One Year limited warranty with lifetime support</li>
 	<li><strong>Dimensions :</strong> φ80*62mm</li>
</ul>
</div>
</div>
</section>","The STC-AIR-1 is a split test cell for Lithium Air Battery Research. You can control air flow pressure and easily test various anode and cathode materials.",publish,,,,no,,900,,,,,,,,"https://cam-energy.com/wp-content/uploads/2020/05/lthbtry.jpg ! alt :  ! title : lthbtry ! desc :  ! caption : ",https://cam-energy.com/product/split-test-cell-for-lithium-air-battery-research/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Electrode Split Test Cell for R&amp;D Coin Cell Battery",,5288,"<h2 class=""product-name"" data-hook=""product-title"">Split Test Cell for R&amp;D Coin Cell Battery</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" data-hook=""product-page-description-content-wrapper"">
<p>The EQ-STC Split Test Cell is used for rechargeable battery and battery electrode materials research. Optional sizes at 10, 12, 15, 19, 20, 24 mm diameter cell.</p>
<p>&nbsp;</p>
<p><u><strong>SPECIFICATIONS</strong></u></p>
<p>&nbsp;</p>
<ul>
<li><strong>Structure : </strong>Full stainless steel</li>
<li><strong>Max. Cell Thickness</strong> : 6mm (cathode separator anode)</li>
<li><strong>Features:</strong>
<ol>
<li>A 6mm height spacer inside the test cell to press down on the elecctrode  and prevent the electrode from curling.</li>
<li>Sealed by electrolyte corrosive-proof PTFE O-rings</li>
<li>Electrolyte corrosive-proof PTFE guide sleeve capable ofwithstanding temperatures up to 250 ºC.</li>
<li>Easy to separate after testing</li>
<li>Small enough to be put in and taken out from a glove box</li>
<li>Same functionality to ""Coin Cell"" but with more size options for electrode and separator and also the proper dimensions for glove box compatibility</li>
</ol>
</li>
<li><strong>Optional : </strong>10, 12, 15, 19, 20, and 24 mm diameter customized</li>
<li><strong>Dimensions :</strong>  Φ80mm*80mm</li>
</ul>
</div>
</div>
</section>
",,publish,2ESTC-SS,,,no,,435,,,,,,,,"https://cam-energy.com/wp-content/uploads/2020/05/new.jpg ! alt :  ! title : new ! desc :  ! caption : ",https://cam-energy.com/product/split-test-cell-for-rd-coin-cell-battery/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aluminium | SS304 Stainless Steel",0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
